ammonia,arsenic,cadmium,copper,viruses,lead,nitrates,mercury,selenium,uranium,class
20.69,0.99,0.123,1.83,1.0,0.146,3.68,0.003,0.02,0.07,1
8.61,1.02,0.128,1.34,0.35,0.1,17.75,0.007,0.02,0.04,1
18.44,0.99,0.129,0.34,0.29,0.184,18.35,0.006,0.08,0.04,1
5.44,1.0,0.124,1.43,0.999,0.083,13.02,0.007,0.08,0.07,1
15.3,1.0,0.127,0.62,0.33,0.065,10.01,0.004,0.02,0.07,1
5.19,1.02,0.125,0.55,0.998,0.033,5.1,0.006,0.02,0.01,1
13.01,1.01,0.123,1.18,0.17,0.091,14.97,0.0,0.07,0.08,1
7.81,0.99,0.128,1.83,0.48,0.189,1.36,0.001,0.02,0.01,1
10.51,1.01,0.122,1.0,0.09,0.097,15.39,0.004,0.07,0.04,1
5.79,0.99,0.122,0.65,0.3,0.099,18.6,0.002,0.01,0.06,1
10.95,0.98,0.122,1.21,0.991,0.074,2.2,0.001,0.0,0.07,1
27.36,1.0,0.128,0.46,0.999,0.183,17.77,0.003,0.09,0.06,1
13.93,1.01,0.129,0.92,0.11,0.12,17.85,0.002,0.04,0.01,1
12.74,1.01,0.121,0.85,0.15,0.135,1.9,0.007,0.0,0.08,1
11.78,1.01,0.124,0.18,0.01,0.092,11.7,0.005,0.0,0.02,1
10.78,1.029,0.124,0.82,0.08,0.114,10.3,0.003,0.07,0.01,1
21.65,1.01,0.123,0.49,0.42,0.139,10.8,0.006,0.07,0.03,1
19.1,1.01,0.129,0.23,0.2,0.086,7.07,0.002,0.08,0.03,1
7.7,1.0,0.129,0.95,0.993,0.091,17.84,0.009,0.06,0.04,1
22.96,1.02,0.124,0.91,0.998,0.169,2.77,0.003,0.02,0.01,1
14.63,1.0,0.123,0.43,0.31,0.018,18.27,0.002,0.09,0.04,1
6.97,1.029,0.128,0.47,0.992,0.121,11.12,0.003,0.04,0.04,1
23.67,0.98,0.122,0.97,0.23,0.188,18.65,0.002,0.08,0.05,1
3.58,0.99,0.124,0.44,0.995,0.187,8.76,0.004,0.05,0.01,1
25.7,0.98,0.125,1.1,0.998,0.065,14.53,0.006,0.06,0.05,1
6.58,1.0,0.124,0.15,0.25,0.076,17.85,0.002,0.02,0.03,1
2.92,1.01,0.126,1.09,0.994,0.093,6.52,0.001,0.06,0.09,1
28.7,0.99,0.127,0.08,0.997,0.118,0.85,0.002,0.08,0.01,1
29.63,1.01,0.127,0.29,0.998,0.097,3.6,0.004,0.03,0.09,1
20.75,0.99,0.128,1.46,0.996,0.131,11.33,0.003,0.02,0.0,1
29.33,1.029,0.123,0.21,0.33,0.064,5.49,0.004,0.01,0.08,1
6.61,1.029,0.128,1.46,0.999,0.034,8.17,0.004,0.03,0.01,1
8.96,0.99,0.126,1.56,0.23,0.088,9.67,0.009,0.09,0.03,1
19.62,0.99,0.129,0.02,0.992,0.099,12.54,0.001,0.06,0.08,1
21.14,0.99,0.122,1.35,0.42,0.107,9.6,0.007,0.05,0.04,1
26.55,1.02,0.122,0.92,0.993,0.016,17.09,0.009,0.1,0.04,1
17.37,0.98,0.124,1.86,1.0,0.185,10.65,0.002,0.09,0.09,1
27.56,1.029,0.128,0.74,0.23,0.11,8.38,0.006,0.01,0.01,1
0.58,1.01,0.123,0.66,0.02,0.132,8.86,0.005,0.05,0.07,1
16.18,1.02,0.129,0.31,0.992,0.077,14.22,0.001,0.07,0.04,1
26.63,1.01,0.121,0.25,0.992,0.023,3.32,0.007,0.09,0.01,1
25.95,1.029,0.127,0.39,0.998,0.051,0.99,0.006,0.0,0.06,1
9.81,1.0,0.122,1.62,0.24,0.079,12.29,0.002,0.03,0.0,1
17.49,1.01,0.128,1.66,0.996,0.114,5.43,0.01,0.09,0.03,1
7.44,1.01,0.129,1.07,0.49,0.095,13.88,0.008,0.06,0.04,1
21.07,0.99,0.125,1.3,0.35,0.032,17.33,0.007,0.01,0.08,1
19.18,1.02,0.126,0.45,0.28,0.063,5.94,0.009,0.01,0.06,1
20.94,0.98,0.127,0.89,0.994,0.011,3.51,0.0,0.09,0.04,1
10.35,1.01,0.125,1.82,0.21,0.068,10.36,0.004,0.1,0.03,1
21.6,1.029,0.126,0.72,0.47,0.025,18.96,0.003,0.09,0.07,1
15.63,1.01,0.121,1.29,0.993,0.054,12.04,0.007,0.03,0.08,1
1.88,1.01,0.126,0.01,0.992,0.115,16.47,0.002,0.01,0.06,1
20.44,0.99,0.122,1.05,0.47,0.018,1.16,0.001,0.02,0.0,1
3.82,1.02,0.122,0.56,0.996,0.038,17.45,0.002,0.09,0.09,1
19.39,0.98,0.124,1.48,0.998,0.09,16.21,0.01,0.09,0.07,1
20.45,1.0,0.126,0.99,0.994,0.073,4.68,0.004,0.1,0.08,1
14.35,0.98,0.129,1.78,0.24,0.148,4.85,0.001,0.09,0.04,1
12.08,0.99,0.124,1.78,0.43,0.099,9.42,0.009,0.06,0.08,1
16.03,1.02,0.129,0.5,0.18,0.147,18.68,0.005,0.05,0.02,1
26.93,1.02,0.125,0.01,0.14,0.153,12.24,0.008,0.06,0.07,1
25.62,1.01,0.125,0.77,0.13,0.181,3.6,0.003,0.09,0.01,1
16.22,1.0,0.129,1.75,0.3,0.071,4.04,0.007,0.07,0.02,1
10.66,1.01,0.123,1.13,0.45,0.047,13.85,0.003,0.09,0.01,1
18.65,0.99,0.121,0.9,0.25,0.053,11.51,0.003,0.08,0.07,1
20.58,0.98,0.124,1.23,0.49,0.114,9.45,0.01,0.08,0.01,1
11.75,0.99,0.125,1.38,0.994,0.08,10.86,0.007,0.09,0.02,1
9.71,1.01,0.125,1.64,1.0,0.197,5.75,0.005,0.07,0.07,1
17.85,0.98,0.124,0.57,0.42,0.04,13.73,0.01,0.1,0.09,1
23.23,1.02,0.129,1.95,0.999,0.185,18.04,0.009,0.01,0.08,1
20.16,1.01,0.123,1.84,0.33,0.02,8.54,0.007,0.03,0.08,1
17.51,0.99,0.129,1.87,0.18,0.128,7.01,0.004,0.08,0.05,1
29.5,0.99,0.129,0.28,0.995,0.016,9.56,0.009,0.1,0.01,1
14.96,1.01,0.125,1.35,0.47,0.068,15.63,0.003,0.05,0.04,1
27.7,0.99,0.123,1.06,0.991,0.177,8.98,0.007,0.04,0.05,1
20.57,1.02,0.121,0.3,0.22,0.015,7.01,0.004,0.07,0.05,1
24.58,1.01,0.122,1.28,0.25,0.13,7.44,0.005,0.1,0.06,1
24.34,0.99,0.128,0.49,0.45,0.036,11.27,0.009,0.02,0.0,1
7.48,0.98,0.129,1.76,0.992,0.03,3.59,0.004,0.08,0.07,1
0.05,1.01,0.122,0.84,0.18,0.08,13.13,0.009,0.06,0.05,1
10.04,1.0,0.122,1.98,0.24,0.002,9.07,0.004,0.04,0.07,1
6.19,1.029,0.127,0.43,0.997,0.111,4.99,0.005,0.07,0.06,1
11.93,1.02,0.122,0.6,0.995,0.156,17.05,0.009,0.06,0.06,1
28.41,0.99,0.127,0.61,0.999,0.092,10.4,0.001,0.08,0.02,1
8.19,0.99,0.124,1.65,0.29,0.139,1.97,0.006,0.05,0.06,1
28.41,1.02,0.129,0.55,0.997,0.112,18.9,0.003,0.09,0.08,1
16.18,1.0,0.128,0.94,0.04,0.042,8.19,0.008,0.07,0.06,1
10.28,0.99,0.128,1.5,0.5,0.126,1.12,0.002,0.05,0.05,1
2.3,1.02,0.127,1.73,0.5,0.13,3.83,0.008,0.04,0.07,1
19.98,1.029,0.122,1.99,0.5,0.052,9.43,0.003,0.04,0.07,1
25.69,0.99,0.124,1.4,0.21,0.036,19.11,0.0,0.04,0.05,1
14.81,1.02,0.128,1.19,0.995,0.195,2.98,0.008,0.06,0.06,1
2.25,1.02,0.127,0.31,0.996,0.019,13.84,0.002,0.03,0.08,1
28.43,1.01,0.125,0.01,0.999,0.15,1.88,0.01,0.01,0.09,1
20.43,0.99,0.126,0.78,0.992,0.097,16.06,0.003,0.09,0.02,1
15.29,1.01,0.125,0.7,0.02,0.044,9.61,0.002,0.05,0.09,1
24.29,0.98,0.129,0.62,0.13,0.153,16.99,0.009,0.01,0.01,1
6.53,1.0,0.122,1.5,0.996,0.166,15.94,0.003,0.01,0.07,1
9.12,1.01,0.129,1.83,0.992,0.041,1.51,0.002,0.09,0.0,1
11.36,0.98,0.126,0.55,0.997,0.098,11.29,0.008,0.09,0.05,1
17.31,0.98,0.122,0.2,0.996,0.087,9.96,0.004,0.01,0.02,1
