class,cylinders,displacement,horsepower,weight,model year
18.0,3,307.0,146,3249,70
15.0,3,350.0,111,3060,70
18.0,3,318.0,126,3317,70
16.0,3,304.0,126,3320,70
17.0,3,302.0,136,3304,70
15.0,3,429.0,78,2412,70
14.0,3,454.0,56,2399,70
14.0,3,440.0,61,2441,70
14.0,3,455.0,51,2328,70
15.0,3,390.0,86,2903,70
15.0,3,383.0,106,3190,70
14.0,3,340.0,116,3144,70
15.0,3,400.0,126,2992,70
14.0,3,455.0,51,3667,70
24.0,7,113.0,181,4381,70
22.0,5,198.0,181,3920,70
18.0,5,199.0,179,3979,70
21.0,5,200.0,191,4166,70
27.0,7,97.0,188,4623,70
26.0,7,97.0,230,4918,70
25.0,7,110.0,189,4081,70
24.0,7,107.0,186,4323,70
25.0,7,104.0,181,4378,70
26.0,7,121.0,163,4519,70
21.0,5,199.0,186,4105,70
10.0,3,360.0,61,2138,70
10.0,3,307.0,76,2377,70
11.0,3,318.0,66,2371,70
9.0,3,304.0,83,2021,70
27.0,7,97.0,188,4623,71
28.0,7,140.0,186,4489,71
25.0,7,113.0,181,4525,71
19.0,5,232.0,176,4119,71
16.0,5,225.0,171,3314,71
17.0,5,250.0,176,3424,71
19.0,5,250.0,188,3451,71
18.0,5,232.0,176,3465,71
14.0,3,350.0,111,2544,71
14.0,3,400.0,101,2289,71
14.0,3,351.0,123,2599,71
14.0,3,318.0,126,2657,71
12.0,3,383.0,96,1798,71
13.0,3,400.0,106,2007,71
13.0,3,400.0,101,1613,71
18.0,5,258.0,166,3791,71
22.0,7,140.0,204,4345,71
19.0,5,250.0,176,3471,71
18.0,5,250.0,188,3614,71
23.0,7,122.0,190,4533,71
28.0,7,116.0,186,4630,71
30.0,7,79.0,206,4679,71
30.0,7,88.0,200,4688,71
31.0,7,71.0,211,4980,71
35.0,7,72.0,207,5140,71
27.0,7,97.0,216,4919,71
26.0,7,91.0,206,4798,71
24.0,7,113.0,181,4475,72
25.0,7,97.5,196,4627,72
23.0,7,97.0,222,4499,72
20.0,7,140.0,186,4345,72
21.0,7,122.0,190,4527,72
13.0,3,350.0,111,2479,72
14.0,3,400.0,101,2368,72
15.0,3,318.0,126,2618,72
14.0,3,351.0,123,2624,72
17.0,3,304.0,126,3081,72
11.0,3,429.0,68,2120,72
13.0,3,350.0,121,2251,72
12.0,3,350.0,116,2297,72
13.0,3,400.0,86,2331,72
19.0,8,70.0,179,4423,72
15.0,3,304.0,126,2861,72
13.0,3,307.0,146,2655,72
13.0,3,302.0,136,2459,72
14.0,3,318.0,126,2676,72
18.0,7,121.0,164,3820,72
22.0,7,121.0,200,4242,72
21.0,7,120.0,189,3774,72
26.0,7,96.0,207,4564,72
22.0,7,122.0,190,4358,72
28.0,7,97.0,184,4465,72
23.0,7,120.0,179,4247,72
28.0,7,98.0,196,4589,72
27.0,7,97.0,188,4653,72
13.0,3,350.0,101,2653,73
14.0,3,304.0,126,3081,73
13.0,3,350.0,131,2765,73
14.0,3,302.0,139,2711,73
15.0,3,318.0,126,2976,73
12.0,3,429.0,78,1801,73
13.0,3,400.0,126,2289,73
13.0,3,351.0,118,2390,73
14.0,3,318.0,126,2516,73
13.0,3,440.0,61,2018,73
12.0,3,455.0,51,1802,73
13.0,3,360.0,101,2932,73
18.0,5,225.0,171,3632,73
16.0,5,250.0,176,3475,73
18.0,5,232.0,176,3808,73
18.0,5,250.0,188,3732,73
23.0,5,198.0,181,3849,73
26.0,7,97.0,230,4803,73
11.0,3,400.0,126,1756,73
12.0,3,400.0,109,1847,73
13.0,3,360.0,106,2099,73
12.0,3,350.0,96,2254,73
18.0,5,232.0,176,3964,73
20.0,7,97.0,188,4474,73
21.0,7,140.0,204,4352,73
22.0,7,108.0,182,4374,73
18.0,8,70.0,186,4629,73
19.0,7,122.0,191,4443,73
21.0,5,155.0,169,4281,73
26.0,7,98.0,186,4488,73
15.0,3,350.0,131,2671,73
16.0,3,400.0,46,2475,73
29.0,7,68.0,227,4886,73
24.0,7,116.0,201,4595,73
20.0,7,114.0,185,4171,73
19.0,7,121.0,164,3885,73
15.0,3,318.0,126,3354,73
24.0,7,121.0,166,4093,73
20.0,5,156.0,154,3946,73
11.0,3,350.0,96,3089,73
20.0,5,198.0,181,3651,74
19.0,5,232.0,176,3852,74
15.0,5,250.0,176,3417,74
