class,SPEED,HARD_DRIVE,RAM,SCREEN,CD,MULTI,FIRM,ADS,TREND
1499,25,80,4,14,0,0,0,94,35
1795,33,85,2,14,0,0,0,94,35
1595,25,170,4,15,0,0,0,94,35
1849,25,170,8,14,0,0,1,94,35
3295,33,340,16,14,0,0,0,94,35
3695,66,340,16,14,0,0,0,94,35
1720,25,170,4,14,1,0,0,94,35
1995,50,85,2,14,0,0,0,94,35
2225,50,210,8,14,0,0,0,94,35
2575,50,210,4,15,0,0,0,94,35
2195,33,170,8,15,0,0,0,94,35
2605,66,210,8,14,0,0,0,94,35
2045,50,130,4,14,0,0,0,94,35
2295,25,245,8,14,0,0,0,94,35
2699,50,212,8,14,0,0,0,94,35
2225,50,130,4,14,0,0,0,94,35
1595,33,85,2,14,0,0,0,94,35
2325,33,210,4,15,0,0,0,94,35
2095,33,250,4,15,0,0,0,94,35
4395,66,452,8,14,0,0,0,94,35
1695,33,130,4,14,0,0,0,94,35
2795,66,130,4,14,0,0,0,94,35
2895,25,340,16,14,0,0,0,94,35
2875,50,210,4,17,0,0,0,94,35
4195,50,452,8,14,0,0,0,94,35
1290,33,80,2,14,0,0,0,94,35
1975,33,130,4,14,0,0,0,94,35
3995,33,452,8,14,0,0,0,94,35
3095,33,340,16,14,0,0,0,94,35
3244,66,245,8,14,0,0,0,94,35
1920,33,170,4,14,1,0,0,94,35
1995,25,130,4,14,0,0,0,94,35
2595,33,210,8,17,0,0,0,94,35
2475,50,210,4,15,0,0,0,94,35
1999,33,170,4,14,0,0,0,94,35
2675,66,210,4,15,0,0,0,94,35
2325,66,210,8,14,0,0,0,94,35
3795,66,500,8,14,0,0,0,94,35
2405,50,210,8,14,0,0,0,94,35
2425,50,210,8,14,0,0,0,94,35
2895,50,245,8,14,0,0,0,94,35
3895,66,500,8,15,0,0,0,94,35
2499,33,212,8,14,0,0,0,94,35
2255,33,210,8,14,0,0,0,94,35
3495,50,340,16,14,0,0,0,94,35
2695,33,245,8,14,0,0,0,94,35
2195,33,130,4,14,0,0,0,94,35
1749,25,120,4,14,0,0,0,94,35
2399,50,212,4,14,0,0,0,94,35
1995,33,250,4,14,0,0,0,94,35
2499,33,170,4,14,0,0,0,94,35
2395,33,130,4,14,0,0,0,94,35
2995,66,340,8,15,0,0,0,94,35
2190,33,210,4,14,0,0,0,94,35
2199,33,212,8,14,0,0,1,94,35
2125,50,130,4,14,0,0,0,94,35
2045,66,130,4,14,0,0,0,94,35
3075,66,210,4,17,0,0,0,94,35
2945,66,210,8,17,0,0,0,94,35
1945,50,130,4,14,0,0,0,94,35
3990,66,330,8,15,0,0,0,94,35
1795,33,170,4,15,0,0,0,94,35
2495,33,250,8,15,0,0,0,94,35
2220,33,250,4,14,1,0,0,94,35
2195,66,85,2,14,0,0,0,94,35
1495,25,170,4,14,0,0,0,94,35
2325,66,130,4,14,0,0,0,94,35
1499,25,120,4,14,0,0,0,94,35
2199,33,212,4,14,0,0,0,94,35
3095,66,245,8,14,0,0,0,94,35
4020,66,500,8,14,1,0,0,94,35
2725,33,210,4,17,0,0,0,94,35
1695,33,170,4,14,0,0,0,94,35
3044,50,245,8,14,0,0,0,94,35
2999,50,170,4,14,0,0,0,94,35
2844,33,245,8,14,0,0,0,94,35
1975,33,210,8,14,0,0,0,94,35
3220,66,340,8,15,1,0,0,94,35
2595,50,130,4,14,0,0,0,94,35
1629,25,80,8,14,0,0,1,94,35
3399,66,230,4,15,0,0,0,94,35
2495,33,245,8,14,0,0,0,94,35
2990,66,210,8,15,0,0,0,94,35
2720,33,250,8,15,1,0,0,94,35
2595,25,245,8,14,0,0,0,94,35
1999,33,120,8,14,0,0,1,94,35
2075,33,210,8,14,0,0,0,94,35
1795,33,130,4,14,0,0,0,94,35
1395,25,85,2,14,0,0,0,94,35
3490,50,330,8,14,0,0,0,94,35
2975,50,210,4,17,0,0,0,94,35
2145,66,130,4,14,0,0,0,94,35
2420,33,170,8,15,1,0,0,94,35
2505,50,210,8,14,0,0,0,94,35
2995,66,340,16,14,0,0,0,95,34
1495,25,170,4,14,0,0,0,95,34
1999,33,170,4,14,0,0,0,95,34
1920,33,170,4,14,1,0,0,95,34
2595,25,340,16,14,0,0,0,95,34
1695,33,170,4,14,0,0,0,95,34
1995,33,250,4,14,0,0,0,95,34
2195,25,245,8,14,0,0,0,95,34
1795,66,85,2,14,0,0,0,95,34
2999,66,330,4,15,0,0,0,95,34
1395,25,85,2,14,0,0,0,95,34
2995,66,250,8,17,0,0,0,95,34
2699,50,212,8,14,0,0,0,95,34
1720,25,170,4,14,1,0,0,95,34
2045,66,170,4,14,0,0,0,95,34
2145,66,170,4,14,0,0,0,95,34
2995,66,340,8,15,0,0,0,95,34
2095,33,130,4,14,0,0,0,95,34
3895,50,452,8,14,0,0,0,95,34
2895,50,340,16,14,0,0,0,95,34
1499,25,170,4,14,0,0,0,95,34
3165,66,250,4,17,0,0,0,95,34
